machine_id,serial_number,device_type,manufacturer,firmware_version,mac_address,ip_address,installation_date,latitude,longitude,municipio,operating_center,reference_network,connectivity_type,signal_strength_dbm,machine_type,sector,shift,age_days,maintenance_delay_days,tool_wear_pct,temperature_c,vibration_mm_s,pressure_bar,oil_level_pct,coolant_level_pct,humidity_pct,voltage_v,current_a,power_kw,rpm,noise_db,smoke_ppm,gas_ppm,network_latency_ms,error_count_24h,restart_count_7d,severity
M-028,SN-RM-0028-80502,Pump Monitor Gateway,Emerson,3.1.2,74:B6:01:0D:32:31,10.4.3.115,2019-07-02,41.946127,12.578082,Municipio IV,CO Roma Est,RETE_IDRICA,4G,-76.2,MOTOR,B1,NIGHT,466,52,89.54,97.18,3.65,10.55,41.71,38.05,66.81,411.58,79.49,67.84,1888.79,70.48,5.31,7.56,75.65,8,5,FAILURE
M-029,SN-RM-0029-20617,Pressure Transmitter IoT,Schneider Electric,3.2.5,50:22:82:60:AC:F0,10.3.251.207,2016-06-05,41.769005,12.431873,Municipio XIII,CO Casilina,RETE_GAS,4G,-60.4,PUMP,C2,DAY,1479,51,19.78,75.94,0.89,7.69,50.93,73.52,34.56,392.88,47.39,46.53,1580.09,71.78,2.82,3.43,41.97,2,0,MAINTENANCE
M-030,SN-RM-0030-45236,Electric Edge Monitor,GE Digital,3.0.0,62:F6:6C:B8:0A:2D,10.6.44.58,2020-06-04,41.884451,12.636011,Municipio X,CO Tiburtina,RETE_ELETTRICA,WiFi,-52.3,COMPRESSOR,C1,DAY,1126,0,52.37,79.6,1.53,12.6,82.54,85.41,61.48,385.96,51.82,57.18,2844.0,73.22,4.96,3.69,59.72,0,0,NORMAL
M-031,SN-RM-0031-68663,Power Edge Controller,Schneider Electric,4.1.3,F9:7A:97:A6:90:F4,10.9.55.244,2018-08-19,41.726692,12.762816,Municipio IX,CO Ostiense,RETE_ENERGIA,4G,-81.1,MOTOR,B1,NIGHT,965,25,55.1,68.77,1.61,7.47,54.73,91.13,44.49,383.45,35.88,39.87,1753.65,66.36,1.33,1.93,45.1,1,0,NORMAL
M-032,SN-RM-0032-98960,Pump Monitor Gateway,Siemens,4.0.0,32:39:9E:C8:8C:87,10.8.232.211,2019-04-18,41.869818,12.628699,Municipio I,CO Tiburtina,RETE_IDRICA,Ethernet,-73.8,PUMP,C2,NIGHT,1624,27,39.03,69.94,2.27,9.0,82.81,84.35,37.68,409.74,42.69,40.61,1405.79,62.84,0.92,1.81,25.67,3,0,NORMAL
M-033,SN-RM-0033-98968,Pressure Transmitter IoT,GE Digital,4.0.0,99:C4:86:98:7F:EB,10.7.11.150,2017-12-04,41.919002,12.342683,Municipio III,CO Flaminia,RETE_GAS,5G,-55.7,MOTOR,B1,DAY,2409,36,43.48,74.38,1.13,7.38,97.82,83.25,49.05,388.85,41.59,42.44,1686.1,69.36,4.64,5.21,31.2,1,0,NORMAL
M-034,SN-RM-0034-15488,Electric Edge Monitor,ABB,4.0.0,83:62:FE:06:A1:7C,10.4.87.130,2023-02-21,41.777192,12.728834,Municipio IX,CO Roma Sud,RETE_ELETTRICA,LoRaWAN,-45.1,TURBINE,A2,NIGHT,1863,20,64.83,87.18,2.13,16.38,93.7,83.62,66.6,412.42,84.41,86.68,5324.46,71.12,0.0,2.05,19.66,1,0,NORMAL
M-035,SN-RM-0035-77873,Speed Sensor Node,Schneider Electric,3.1.2,C6:AB:FF:48:9E:F3,10.9.108.79,2017-04-26,41.800332,12.776039,Municipio III,CO EUR,RETE_ENERGIA,4G,-60.0,MOTOR,A1,NIGHT,1144,5,52.64,74.45,0.91,5.92,71.59,74.7,78.57,399.02,41.49,33.42,1687.41,66.42,0.63,3.07,37.53,1,1,NORMAL
M-036,SN-RM-0036-48205,Pressure IoT Node,ABB,3.0.0,61:CB:5C:A4:58:5B,10.8.200.214,2015-12-12,41.920822,12.649206,Municipio XIV,CO Roma Ovest,RETE_IDRICA,WiFi,-64.1,MOTOR,A1,NIGHT,1250,35,63.96,71.01,1.86,6.56,64.61,90.37,53.66,400.01,53.51,31.29,1650.76,60.88,1.27,0.62,17.39,1,1,NORMAL
M-037,SN-RM-0037-90101,Pressure Transmitter IoT,Schneider Electric,4.0.0,89:09:6C:73:51:57,10.5.39.30,2015-04-25,41.810977,12.765551,Municipio IX,CO Aurelia,RETE_GAS,WiFi,-42.8,PUMP,C1,DAY,1291,22,73.61,83.26,2.38,13.31,43.38,78.17,55.24,386.24,47.27,54.73,1485.55,73.95,5.06,2.51,36.15,5,1,WARNING
M-038,SN-RM-0038-68354,Motor IoT Controller,ABB,4.1.3,9B:53:BF:05:3F:32,10.6.65.4,2020-10-19,41.826737,12.771444,Municipio III,CO Flaminia,RETE_ELETTRICA,Ethernet,-71.2,COMPRESSOR,B1,NIGHT,3394,12,59.94,68.78,1.02,10.48,49.82,50.9,34.07,413.25,49.19,60.74,2947.67,72.7,0.2,1.79,50.93,2,0,NORMAL
M-039,SN-RM-0039-67336,Power Edge Controller,ABB,2.4.0,3B:51:E6:42:39:FC,10.4.117.77,2019-06-28,41.985088,12.474482,Municipio III,CO Roma Est,RETE_ENERGIA,WiFi,-42.6,MOTOR,A2,NIGHT,3584,39,46.84,76.77,1.51,8.29,69.77,74.84,24.88,398.28,32.28,51.8,1856.18,63.22,2.6,0.0,30.57,0,0,NORMAL
M-040,SN-RM-0040-96632,Smart Flow Sensor,Yokogawa,2.4.0,C8:AC:19:91:D1:7F,10.2.8.57,2018-10-19,41.741715,12.275169,Municipio VI,CO Tiburtina,RETE_IDRICA,4G,-60.2,PUMP,C1,NIGHT,1934,29,62.82,73.38,2.62,11.31,68.51,84.05,42.65,400.23,33.6,49.72,1471.09,66.69,4.39,0.0,9.79,1,1,NORMAL
M-041,SN-RM-0041-86285,Gas IoT Sensor,ABB,3.2.5,B1:FE:E6:33:5F:19,10.3.90.158,2016-07-31,41.778048,12.405829,Municipio I,CO Roma Nord,RETE_GAS,WiFi,-41.6,TURBINE,B1,DAY,901,22,36.1,93.26,3.06,14.87,13.3,79.93,63.31,397.49,59.14,85.9,5456.44,55.29,1.3,0.0,52.07,4,0,MAINTENANCE
M-042,SN-RM-0042-79443,Vibration Sensor Node,ABB,3.2.5,D1:82:1E:DB:CD:DE,10.7.51.98,2023-06-10,41.956737,12.659859,Municipio VI,CO Roma Est,RETE_ELETTRICA,5G,-61.1,MOTOR,C2,DAY,1920,18,64.36,66.48,1.2,7.54,74.37,75.29,79.89,404.69,47.81,68.26,1735.03,63.21,2.86,1.66,32.1,2,1,NORMAL
M-043,SN-RM-0043-61148,Power Edge Controller,Honeywell,4.0.0,6C:F0:F2:FA:46:94,10.7.15.106,2019-07-29,41.850768,12.288248,Municipio III,CO Aurelia,RETE_ENERGIA,LoRaWAN,-72.5,TURBINE,C1,DAY,1966,42,77.65,118.74,6.25,17.15,80.47,48.62,57.65,388.73,95.04,109.82,5438.77,74.66,8.05,11.29,35.5,13,5,FAILURE
M-044,SN-RM-0044-89748,Pressure IoT Node,Schneider Electric,2.4.0,FC:02:76:60:D2:80,10.7.51.160,2015-07-19,41.844425,12.305318,Municipio III,CO Tiburtina,RETE_IDRICA,LoRaWAN,-37.7,TURBINE,A2,DAY,3562,17,75.04,86.85,3.28,14.62,70.01,72.94,43.29,406.95,78.29,92.91,5198.17,71.08,1.16,4.34,16.48,1,0,NORMAL
M-045,SN-RM-0045-19321,Gas IoT Sensor,Emerson,2.3.1,36:EA:EA:DC:4E:7E,10.1.240.158,2020-12-19,41.77113,12.345836,Municipio I,CO EUR,RETE_GAS,WiFi,-45.6,COMPRESSOR,B2,DAY,1191,24,81.84,88.75,3.37,14.99,36.08,58.69,38.98,383.65,51.16,61.31,2848.96,53.62,0.0,2.68,30.03,3,0,MAINTENANCE
M-046,SN-RM-0046-82499,Motor IoT Controller,Bosch,3.1.2,1E:56:DF:A6:58:6A,10.7.20.5,2022-07-13,41.824582,12.763321,Municipio VIII,CO Roma Centro,RETE_ELETTRICA,LoRaWAN,-74.6,TURBINE,B1,NIGHT,728,49,84.73,95.26,4.26,15.1,35.54,72.83,66.83,400.4,67.5,79.5,4903.16,62.95,2.22,2.69,39.8,5,0,MAINTENANCE
M-047,SN-RM-0047-20259,Power Edge Controller,Siemens,2.4.0,1B:69:3E:52:1C:C3,10.5.94.253,2023-05-19,41.901037,12.625708,Municipio VIII,CO EUR,RETE_ENERGIA,WiFi,-58.7,TURBINE,C1,DAY,563,10,39.28,88.15,2.2,14.93,64.53,88.6,34.75,407.12,68.23,85.6,5070.08,75.95,2.66,0.68,47.48,0,1,NORMAL
M-048,SN-RM-0048-86147,Pressure IoT Node,GE Digital,3.0.0,DF:D0:1A:3D:8A:D3,10.6.139.190,2017-07-21,41.801031,12.542235,Municipio I,CO Flaminia,RETE_IDRICA,LoRaWAN,-52.5,MOTOR,A1,NIGHT,3396,15,28.48,62.55,0.22,7.33,70.41,69.55,68.18,411.99,42.01,33.19,1793.21,71.33,2.62,2.47,22.53,0,0,NORMAL
M-049,SN-RM-0049-15569,Pressure Transmitter IoT,Bosch,2.3.1,DC:1B:2F:19:DF:FC,10.5.202.6,2022-03-30,41.96141,12.330381,Municipio XIV,CO Roma Est,RETE_GAS,Ethernet,-69.4,PUMP,C1,DAY,1000,35,32.01,73.38,2.56,10.77,24.22,68.83,43.27,396.35,28.17,46.28,1407.74,76.19,3.62,0.78,34.12,3,1,MAINTENANCE
M-050,SN-RM-0050-54628,Electric Edge Monitor,Yokogawa,3.2.5,2C:62:90:46:44:78,10.2.117.24,2019-12-22,41.857295,12.716175,Municipio X,CO Roma Sud,RETE_ELETTRICA,5G,-57.6,TURBINE,A2,NIGHT,2100,0,58.72,94.91,2.37,15.64,57.63,71.51,27.69,376.56,83.1,77.09,5105.25,59.68,0.0,0.74,29.06,1,0,NORMAL
M-051,SN-RM-0051-90601,Power Edge Controller,Siemens,3.1.2,37:E3:E9:1B:79:72,10.5.114.234,2018-03-15,41.905407,12.58896,Municipio X,CO Roma Est,RETE_ENERGIA,WiFi,-44.1,MOTOR,A2,DAY,1490,27,50.93,74.38,1.59,6.86,71.79,76.91,53.18,393.22,46.92,69.49,1625.61,69.94,0.48,1.87,40.7,1,2,NORMAL
M-052,SN-RM-0052-73326,Pump Monitor Gateway,ABB,4.0.0,89:5F:98:08:B5:67,10.9.120.215,2017-06-29,41.787203,12.696984,Municipio XIII,CO EUR,RETE_IDRICA,WiFi,-62.0,COMPRESSOR,A1,NIGHT,605,0,87.81,82.99,3.87,11.94,27.17,39.83,64.94,385.08,67.07,59.98,3035.67,76.31,0.61,0.24,59.09,9,1,WARNING
M-053,SN-RM-0053-25514,Pressure Transmitter IoT,ABB,4.1.3,CA:DE:04:46:17:15,10.6.141.252,2019-11-18,41.753426,12.626615,Municipio VII,CO Roma Nord,RETE_GAS,Ethernet,-75.7,TURBINE,C1,NIGHT,2238,22,61.75,83.33,1.79,15.69,75.46,71.15,47.79,384.99,69.32,79.77,5455.51,64.16,3.28,0.19,43.72,0,1,NORMAL
M-054,SN-RM-0054-28539,Motor IoT Controller,Siemens,2.4.0,0D:28:A0:27:FD:C8,10.3.240.147,2021-05-21,41.727769,12.569765,Municipio VIII,CO EUR,RETE_ELETTRICA,5G,-73.4,TURBINE,A2,NIGHT,1505,3,38.66,89.66,1.34,15.02,90.95,68.05,55.9,410.25,75.35,79.51,4726.65,71.85,1.77,0.0,41.9,1,0,NORMAL
M-055,SN-RM-0055-45870,Power Edge Controller,ABB,4.0.0,2D:B6:05:11:6D:C0,10.8.102.37,2023-11-24,41.942953,12.622458,Municipio I,CO Roma Sud,RETE_ENERGIA,4G,-53.7,PUMP,A1,DAY,2690,21,86.8,83.04,3.07,10.32,29.47,45.01,67.6,386.32,53.31,50.97,1456.46,77.2,4.95,1.76,20.32,7,1,WARNING
M-056,SN-RM-0056-88789,Pump Monitor Gateway,ABB,4.0.0,3A:AD:EF:73:79:26,10.9.216.57,2023-01-08,41.923012,12.372146,Municipio X,CO Roma Nord,RETE_IDRICA,4G,-47.9,MOTOR,C1,NIGHT,2749,17,36.01,76.59,0.95,10.49,61.62,85.5,32.57,417.06,51.04,47.78,1655.72,69.26,0.0,3.19,52.14,1,1,NORMAL
M-057,SN-RM-0057-17867,Gas IoT Sensor,Schneider Electric,4.0.0,A2:38:CE:47:EF:FC,10.2.91.56,2016-08-21,41.946384,12.362253,Municipio IX,CO Roma Sud,RETE_GAS,Ethernet,-60.1,COMPRESSOR,A1,NIGHT,1356,0,40.44,73.03,2.06,11.59,62.07,75.59,58.64,396.96,46.63,53.55,2677.17,70.86,2.0,1.06,54.41,1,0,NORMAL
M-058,SN-RM-0058-40679,Electric Edge Monitor,Yokogawa,2.3.1,AA:2A:1A:EF:AB:AF,10.2.203.17,2021-09-14,41.814397,12.333356,Municipio X,CO Roma Ovest,RETE_ELETTRICA,5G,-77.1,TURBINE,B2,DAY,1485,85,100.0,120.26,4.65,17.72,80.28,39.16,48.6,407.47,92.98,91.82,5561.37,81.55,15.79,7.83,59.43,15,5,FAILURE
M-059,SN-RM-0059-29703,Power Edge Controller,Siemens,2.3.1,A1:A6:9C:B8:48:49,10.4.70.103,2016-06-23,41.959345,12.511251,Municipio XII,CO Ostiense,RETE_ENERGIA,5G,-52.8,MOTOR,A1,DAY,858,28,73.09,90.86,2.42,7.95,65.14,74.54,46.44,402.36,49.3,50.5,1706.87,65.23,0.0,0.0,50.95,3,0,MAINTENANCE
M-060,SN-RM-0060-63080,Pump Monitor Gateway,Schneider Electric,2.4.0,C7:F6:4B:63:1E:34,10.4.121.122,2018-06-20,41.77628,12.558836,Municipio XV,CO Flaminia,RETE_IDRICA,WiFi,-90.5,PUMP,C2,DAY,1749,19,71.81,74.33,2.16,10.55,57.43,61.65,43.68,410.71,42.02,51.27,1485.91,61.19,2.06,1.22,32.95,5,1,MAINTENANCE
M-061,SN-RM-0061-34533,Compressor Edge Node,Honeywell,3.0.0,28:75:5D:82:55:BE,10.5.201.43,2018-03-29,41.844378,12.683552,Municipio V,CO Flaminia,RETE_GAS,WiFi,-74.2,COMPRESSOR,C2,NIGHT,114,30,30.14,96.39,3.33,15.35,42.86,84.48,52.69,388.38,50.66,56.84,2752.14,77.39,0.0,0.0,34.3,4,1,WARNING
M-062,SN-RM-0062-92782,Motor IoT Controller,Honeywell,3.0.0,92:02:26:F2:D6:5C,10.3.8.121,2015-08-29,41.773778,12.275419,Municipio II,CO Flaminia,RETE_ELETTRICA,4G,-62.5,PUMP,B1,NIGHT,1010,8,52.15,66.38,1.72,9.06,86.22,78.4,47.4,401.05,49.68,31.96,1494.65,56.64,2.43,3.36,47.33,0,1,NORMAL
M-063,SN-RM-0063-58998,Speed Sensor Node,Siemens,3.0.0,59:B4:BF:3F:F0:94,10.9.98.246,2017-07-03,41.833904,12.244866,Municipio VI,CO Roma Centro,RETE_ENERGIA,5G,-47.0,PUMP,A1,NIGHT,3049,23,97.88,85.99,3.47,12.74,41.13,53.85,91.27,395.48,45.47,48.62,1464.61,67.52,4.25,0.86,23.34,8,2,WARNING
M-064,SN-RM-0064-25920,Pump Monitor Gateway,Honeywell,4.0.0,57:9F:AF:5B:CE:96,10.6.164.73,2021-02-17,41.971371,12.638703,Municipio XIV,CO Roma Ovest,RETE_IDRICA,WiFi,-55.0,COMPRESSOR,C2,NIGHT,496,0,42.83,72.29,2.62,11.71,86.13,68.6,53.71,407.37,46.26,58.98,2784.73,69.77,3.85,1.99,68.75,1,1,NORMAL
M-065,SN-RM-0065-37649,Compressor Edge Node,Yokogawa,4.0.0,22:85:91:5B:E4:FF,10.2.15.35,2017-04-05,41.883484,12.510403,Municipio IX,CO Roma Est,RETE_GAS,Ethernet,-69.9,COMPRESSOR,A2,NIGHT,1275,28,66.34,82.99,2.98,12.26,23.2,97.92,57.48,403.8,58.97,57.22,3011.89,75.58,3.06,0.71,34.87,3,1,WARNING
